Type,Rank,Score,Primary_ID,Name,ATC Classification,Groups
Drug,1,1.0,DB01224,Quetiapine,N: Nervous system,Approved
Drug,2,0.98,DB00200,Hydroxocobalamin,V: Various / B: Blood and blood forming organs,Approved
Drug,3,0.97,DB00787,Acyclovir,J: Antiinfectives for systemic use / D: Dermatologicals / S: Sensory organs,Approved
Drug,4,0.97,DB04953,Ezogabine,N: Nervous system,Approved / Investigational
Drug,5,0.96,DB00688,Mycophenolate mofetil,None,Approved / Investigational
Drug,6,0.96,DB00798,Gentamicin,J: Antiinfectives for systemic use / D: Dermatologicals / S: Sensory organs,Approved / Vet_approved
Drug,7,0.96,DB01409,Tiotropium,R: Respiratory system,Approved
Drug,8,0.96,DB00567,Cephalexin,J: Antiinfectives for systemic use,Approved / Investigational / Vet_approved
Drug,9,0.96,DB00577,Valaciclovir,J: Antiinfectives for systemic use,Approved / Investigational
Drug,10,0.95,DB00652,Pentazocine,N: Nervous system,Approved / Vet_approved
Drug,11,0.95,DB00203,Sildenafil,G: Genito-urinary system and sex hormones,Approved / Investigational
Drug,12,0.95,DB00035,Desmopressin,"H: Systemic hormonal preparations, excluding sex hormones and insulins",Approved
Drug,13,0.95,DB08877,Ruxolitinib,L: Antineoplastic and immunomodulating agents,Approved
Drug,14,0.95,DB00915,Amantadine,N: Nervous system,Approved
Drug,15,0.95,DB01205,Flumazenil,V: Various,Approved
Drug,16,0.95,DB00289,Atomoxetine,N: Nervous system,Approved
Drug,17,0.95,DB01331,Cefoxitin,J: Antiinfectives for systemic use,Approved
Drug,18,0.95,DB00285,Venlafaxine,N: Nervous system,Approved
Drug,19,0.94,DB01018,Guanfacine,C: Cardiovascular system,Approved / Investigational
Drug,20,0.94,DB01327,Cefazolin,J: Antiinfectives for systemic use,Approved
Drug,21,0.94,DB00911,Tinidazole,"J: Antiinfectives for systemic use / A: Alimentary tract and metabolism / G: Genito-urinary system and sex hormones / P: Antiparasitic products, insecticides and repellents",Approved / Investigational
Drug,22,0.94,DB01176,Cyclizine,R: Respiratory system,Approved
Drug,23,0.94,DB00231,Temazepam,N: Nervous system,Approved / Investigational
Drug,24,0.94,DB00628,Clorazepic acid,N: Nervous system,Approved / Illicit
Drug,25,0.94,DB00494,Entacapone,N: Nervous system,Approved / Investigational
Drug,26,0.94,DB00327,Hydromorphone,N: Nervous system,Approved / Illicit
Drug,27,0.94,DB01190,Clindamycin,J: Antiinfectives for systemic use / G: Genito-urinary system and sex hormones / D: Dermatologicals,Approved / Vet_approved
Drug,28,0.94,DB06402,Telavancin,J: Antiinfectives for systemic use,Approved
Drug,29,0.94,DB00706,Tamsulosin,G: Genito-urinary system and sex hormones,Approved / Investigational
Drug,30,0.94,DB00185,Cevimeline,N: Nervous system,Approved
Drug,31,0.93,DB01156,Bupropion,N: Nervous system / A: Alimentary tract and metabolism,Approved
Drug,32,0.93,DB00980,Ramelteon,N: Nervous system,Approved / Investigational
Drug,33,0.93,DB00619,Imatinib,L: Antineoplastic and immunomodulating agents,Approved
Drug,34,0.93,DB00005,Etanercept,L: Antineoplastic and immunomodulating agents,Approved / Investigational
Drug,35,0.93,DB00690,Flurazepam,N: Nervous system,Approved / Illicit / Investigational
Drug,36,0.93,DB09320,Procaine benzylpenicillin,J: Antiinfectives for systemic use,Approved / Vet_approved
Drug,37,0.93,DB01421,Paromomycin,A: Alimentary tract and metabolism,Approved / Investigational
Drug,38,0.93,DB00713,Oxacillin,J: Antiinfectives for systemic use,Approved / Investigational
Drug,39,0.93,DB00985,Dimenhydrinate,None,Approved
Drug,40,0.93,DB01068,Clonazepam,N: Nervous system,Approved / Illicit
Drug,41,0.93,DB01261,Sitagliptin,A: Alimentary tract and metabolism,Approved / Investigational
Drug,42,0.93,DB00413,Pramipexole,N: Nervous system,Approved / Investigational
Drug,43,0.93,DB00080,Daptomycin,J: Antiinfectives for systemic use,Approved / Investigational
Drug,44,0.93,DB00924,Cyclobenzaprine,M: Musculo-skeletal system,Approved
Drug,45,0.93,DB00530,Erlotinib,L: Antineoplastic and immunomodulating agents,Approved / Investigational
Drug,46,0.93,DB01168,Procarbazine,L: Antineoplastic and immunomodulating agents,Approved / Investigational
Drug,47,0.92,DB00683,Midazolam,N: Nervous system,Approved / Illicit
Drug,48,0.92,DB00186,Lorazepam,N: Nervous system,Approved
Drug,49,0.92,DB00355,Aztreonam,J: Antiinfectives for systemic use,Approved
Drug,50,0.92,DB01610,Valganciclovir,J: Antiinfectives for systemic use,Approved / Investigational
Drug,51,0.92,DB04868,Nilotinib,L: Antineoplastic and immunomodulating agents,Approved / Investigational
Drug,52,0.92,DB01172,Kanamycin,J: Antiinfectives for systemic use / A: Alimentary tract and metabolism / S: Sensory organs,Approved / Investigational / Vet_approved
Drug,53,0.92,DB00165,Pyridoxine,J: Antiinfectives for systemic use / A: Alimentary tract and metabolism,Approved / Investigational / Nutraceutical / Vet_approved
Drug,54,0.92,DB08893,Mirabegron,G: Genito-urinary system and sex hormones,Approved
Drug,55,0.92,DB08907,Canagliflozin,A: Alimentary tract and metabolism,Approved
Drug,56,0.92,DB01263,Posaconazole,J: Antiinfectives for systemic use,Approved / Investigational / Vet_approved
Drug,57,0.91,DB12537,Benzodiazepine,None,Approved / Investigational
Drug,58,0.91,DB00280,Disopyramide,C: Cardiovascular system,Approved
Drug,59,0.91,DB00245,Benzatropine,N: Nervous system,Approved
Drug,60,0.91,DB01267,Paliperidone,N: Nervous system,Approved
Drug,61,0.91,DB01558,Bromazepam,N: Nervous system,Approved / Illicit / Investigational
Drug,62,0.91,DB00438,Ceftazidime,J: Antiinfectives for systemic use,Approved
Drug,63,0.91,DB00819,Acetazolamide,G: Genito-urinary system and sex hormones / S: Sensory organs,Approved / Vet_approved
Drug,64,0.91,DB01356,Lithium cation,None,Experimental
Drug,65,0.91,DB00243,Ranolazine,C: Cardiovascular system,Approved / Investigational
Drug,66,0.91,DB01367,Rasagiline,N: Nervous system,Approved
Drug,67,0.91,DB00484,Brimonidine,D: Dermatologicals / S: Sensory organs,Approved
Drug,68,0.91,DB01326,Cefamandole,J: Antiinfectives for systemic use,Approved / Experimental
Drug,69,0.91,DB00900,Didanosine,J: Antiinfectives for systemic use,Approved
Drug,70,0.91,DB00476,Duloxetine,N: Nervous system,Approved
Drug,71,0.91,DB00469,Tenoxicam,M: Musculo-skeletal system,Approved
Drug,72,0.91,DB00591,Fluocinolone acetonide,C: Cardiovascular system / D: Dermatologicals / S: Sensory organs,Approved / Investigational / Vet_approved
Drug,73,0.91,DB01140,Cefadroxil,J: Antiinfectives for systemic use,Approved / Vet_approved / Withdrawn
Drug,74,0.91,DB01329,Cefoperazone,J: Antiinfectives for systemic use,Approved / Investigational
Drug,75,0.91,DB01380,Cortisone acetate,None,Approved / Investigational
Drug,76,0.91,DB00529,Foscarnet,J: Antiinfectives for systemic use,Approved
Drug,77,0.91,DB00552,Pentostatin,L: Antineoplastic and immunomodulating agents,Approved / Investigational
Drug,78,0.91,DB00198,Oseltamivir,J: Antiinfectives for systemic use,Approved
Drug,79,0.91,DB00349,Clobazam,N: Nervous system,Approved / Illicit
Drug,80,0.9,DB01060,Amoxicillin,J: Antiinfectives for systemic use / A: Alimentary tract and metabolism,Approved / Vet_approved
Drug,81,0.9,DB00938,Salmeterol,R: Respiratory system,Approved
Drug,82,0.9,DB06201,Rufinamide,N: Nervous system,Approved
Drug,83,0.9,DB01330,Cefotetan,J: Antiinfectives for systemic use,Approved
Drug,84,0.9,DB00454,Meperidine,N: Nervous system,Approved
Drug,85,0.9,DB00813,Fentanyl,N: Nervous system,Approved / Illicit / Investigational / Vet_approved
Drug,86,0.9,DB01035,Procainamide,C: Cardiovascular system,Approved
Drug,87,0.9,DB00872,Conivaptan,C: Cardiovascular system,Approved / Investigational
Drug,88,0.9,DB00842,Oxazepam,N: Nervous system,Approved
Drug,89,0.9,DB00962,Zaleplon,N: Nervous system,Approved / Illicit / Investigational
Drug,90,0.9,DB00332,Ipratropium,R: Respiratory system,Approved / Experimental
Drug,91,0.9,DB00303,Ertapenem,J: Antiinfectives for systemic use,Approved / Investigational
Drug,92,0.9,DB01098,Rosuvastatin,A: Alimentary tract and metabolism / C: Cardiovascular system / G: Genito-urinary system and sex hormones,Approved
Drug,93,0.9,DB00213,Pantoprazole,A: Alimentary tract and metabolism,Approved
Drug,94,0.9,DB00237,Butabarbital,N: Nervous system,Approved / Illicit
Drug,95,0.9,DB13954,Estradiol cypionate,None,Approved / Investigational / Vet_approved
