Actual DrugBank ID,LLM Predicted DrugBank ID,Drug Name
DB01235,DB00195,Levodopa
DB00190,DB01235,Carbidopa
DB00915,DB00582,Amantadine
DB01037,DB01608,Selegiline
DB01200,DB00531,Bromocriptine
DB00413,DB00388,Pramipexole
DB00268,DB00795,Ropinirole
DB01186,DB00248,Pergolide
DB06654,DB04844,Safinamide
DB01367,DB04796,Rasagiline
DB00589,DB00201,Lisuride
DB00323,DB01064,Tolcapone
DB05271,DB06209,Rotigotine
DB11757,DB13009,Istradefylline
DB00714,DB04851,Apomorphine
DB05266,DB06701,Ibudilast
DB11632,DB09272,Opicapone
DB12883,DB13944,Eltoprazine
DB08162,DB12894,Fasudil
DB00494,DB01413,Entacapone
