Actual DrugBank ID,LLM Predicted DrugBank ID,Drug Name
DB01367,DB01248,Rasagiline
DB01037,DB00749,Selegiline
DB00579,DB00912,Mazindol
DB00494,DB00997,Entacapone
DB01173,DB00720,Orphenadrine
DB00714,DB00632,Apomorphine
DB11632,DB09039,Opicapone
DB00413,DB00294,Pramipexole
DB00323,DB00591,Tolcapone
DB00968,DB00960,Methyldopa
DB01200,DB01234,Bromocriptine
DB00268,DB00268,Ropinirole
DB00915,DB01074,Amantadine
DB01186,DB00338,Pergolide
DB00909,DB01288,Zonisamide
,DB01100,Bensoxazole
DB12783,DB06708,Benserazide
DB00190,DB00313,Carbidopa
DB01235,DB00315,Levodopa
,DB06643,Cx061
