Drug,Drug_Name,label
DB00190,Carbidopa,1
DB00494,Entacapone,1
DB06151,Acetylcysteine,1
DB12440,Verdiperstat,1
DB00809,Tropicamide,1
DB00915,Amantadine,1
DB09153,Sodium chloride,1
DB12361,Piclozotan,1
DB00295,Morphine,1
DB04115,Berberine,1
DB00331,Metformin,1
DB00584,Captopril,0
DB00519,Enalapril,0
DB00722,Trandolapril,0
DB11231,Ramipril,0
DB04690,Lisinopril,0
DB00526,Lycopene,0
DB00233,Camptothecin,0
DB00222,Fluorouracil,0
DB00046,Leucovorin,0
DB01009,Oxaliplatin,0
DB00254,Tirofiban,0
DB01390,Aminosalicylic acid,0
DB00878,Cyclophosphamide,0
DB11348,Filgrastim,0
DB00296,Glimepiride,0
DB00668,Insulin lispro,0
DB00297,Insulin human,0
DB01075,Ketoprofen,0
DB00281,Doxycycline,0
DB12225,Nystatin,0
DB09102,Sodium bicarbonate,0
DB11586,Chlorhexidine,0
DB00518,Calcium Phosphate,0
DB00602,Ropivacaine,0
DB00425,Sodium chloride,0
DB00264,Epinephrine,0
DB00811,Bupivacaine,0
DB09296,Diphenhydramine,0
DB09297,Lidocaine,0
DB09183,Beclabuvir,0
DB12293,Daclatasvir,0
DB00554,Asunaprevir,0
DB11817,Albendazole,0
DB08895,Ivermectin,0
DB00625,Zolpidem,0
DB00715,Metoprolol,0
DB01045,Ritonavir,0
DB00196,Ribavirin,0
DB00813,Ombitasvir,0
DB00482,Paritaprevir,0
DB00930,Dasabuvir,0
DB09083,Nefopam,0
DB11727,Acetaminophen,0
DB09257,Piroxicam,0
DB03209,Capecitabine,0
DB01276,Baricitinib,0
DB00047,Tofacitinib,0
DB00741,Efavirenz,0
DB01392,Paroxetine,0
DB00669,Rifampicin,0
DB01221,Caffeine,0
DB00633,Fluconazole,0
DB00818,Ciprofloxacin,0
DB06655,Losartan,0
DB01252,Midazolam,0
DB00454,Omeprazole,0
DB00495,Bevacizumab,0
DB06817,Fentanyl,0
DB09029,Celecoxib,0
DB01611,Colesevelam,0
DB00877,Ivabradine,0
DB00094,Carvedilol,0
DB06285,Endostar,0
DB04876,Gimeracil,0
DB00169,Oteracil,0
DB00399,Cisplatin,0
DB12039,Exenatide,0
DB12659,Insulin glargine,0
DB01454,Rosiglitazone,0
DB09145,Hydrocortisone,0
DB00062,Yohimbine,0
DB12210,Sumatriptan,0
DB01205,Dextromethorphan,0
DB00586,Ketamine,0
DB01086,Dexmedetomidine,0
DB00961,Propofol,0
DB01190,Liraglutide,0
DB06812,Mitiglinide,0
DB06702,Morphine,0
DB00743,Meperidine,0
DB12116,Metformin,0
DB09287,Rosuvastatin,0
DB11739,Metronidazole,0
DB00448,Zidovudine,0
DB00900,Raltegravir,0
DB00649,Secukinumab,0
DB00709,Hydroxychloroquine,0
DB00238,Sirolimus,0
DB00736,Urofollitropin,0
DB00404,Teriparatide,0
DB00442,Vildagliptin,0
DB03166,Vitamin D3,0
DB00847,Zoledronic acid,0
DB05351,Epicatechin,0
DB00445,SJ-733,0
DB09065,Midomafetamine,0
DB08882,Water,0
DB09279,Albumin human,0
DB04874,AZD-6280,0
DB01345,Flumazenil,0
DB01914,Diclofenac,0
DB00661,Benzocaine,0
DB00999,Mepivacaine,0
DB00068,Clindamycin,0
DB01109,Povidone-iodine,0
DB06228,Fesoterodine,0
DB01418,Gadobenic acid,0
DB00114,Epigallocatechin gallate,0
DB00441,Polyethylene glycol,0
DB12015,Fludeoxyglucose (18F),0
DB00213,Vonoprazan,0
DB01060,Lansoprazole,0
DB09275,Didanosine,0
DB00256,Stavudine,0
DB00041,Lamivudine,0
DB01073,Nevirapine,0
DB01260,Esomeprazole,0
DB00704,Melatonin,0
DB00541,Alprazolam,0
DB01181,Entecavir,0
DB00309,Acetic acid,0
DB00073,Cysteamine,0
DB00987,Procaine benzylpenicillin,0
DB00181,Dexlansoprazole,0
DB01638,Clarithromycin,0
DB00708,Paclitaxel,0
DB08934,Epirubicin,0
DB05220,Carboplatin,0
DB11911,Cobicistat,0
DB12381,Linagliptin,0
DB12550,Fimasartan,0
DB00078,Picoplatin,0
DB00182,Potassium cation,0
DB00836,D-glucose,0
DB12059,Verapamil,0
DB00315,Hydrochlorothiazide,0
DB12518,Interferon beta-1b,0
DB11118,Heparin,0
DB12228,Rivaroxaban,0
DB09330,Acenocoumarol,0
DB00186,Warfarin,0
DB00734,Pyridoxal phosphate,0
DB09546,Gemcitabine,0
DB12325,Alpelisib,0
DB00199,Pantoprazole,0
DB09397,Amoxicillin,0
DB11936,Bismuth subcitrate potassium,0
DB00419,Lymecycline,0
DB11805,Aldesleukin,0
DB12183,Fludarabine,0
DB09049,Desonide,0
DB11978,Doxorubicin,0
DB12130,Naltrexone,0
DB01167,Vincristine,0
DB11971,Ifosfamide,0
DB08916,Vindesine,0
DB03088,Rituximab,0
DB13086,Etoposide,0
DB13012,Cytarabine,0
DB11989,Baclofen,0
DB09038,Sorbitol,0
DB11808,Sufentanil,0
DB11591,Ondansetron,0
DB12273,Sofosbuvir,0
DB05494,Ropinirole,0
DB12395,Alisertib,0
DB12253,Galunisertib,0
DB12180,Merestinib,0
DB11682,Abemaciclib,0
DB01026,Taladegib,0
DB12526,Ibritumomab tiuxetan,0
DB11732,Amphetamine,0
DB12412,Loperamide,0
DB12713,JNJ-40411813,0
DB12167,Lapatinib,0
DB00121,Florbetapir (18F),0
DB12513,Zolmitriptan,0
DB12427,Raclopride,0
DB11759,Ammonia,0
DB11878,Telcagepant,0
DB12615,Methylphenidate,0
DB12114,Osimertinib,0
DB12392,Clonidine,0
DB12543,Lorazepam,0
DB11853,Risperidone,0
DB11581,Iobenguane sulfate I-123,0
DB00947,Idasanutlin,0
DB11925,Erythromycin,0
DB11919,Technetium Tc-99m sulfur colloid,0
DB09278,Lamotrigine,0
DB00787,Bempedoic acid,0
DB00125,Miglustat,0
DB11809,Saracatinib,0
DB11995,Sapitinib,0
DB09060,Naloxegol,0
DB12054,Glasdegib,0
DB06761,Lorlatinib,0
DB11751,Itraconazole,0
DB08875,Vilaprisan,0
DB00089,Afatinib,0
DB04339,Pidolic acid,0
DB12830,Acoziborole,0
DB00535,AQX-1125,0
DB00438,Benznidazole,0
DB00341,Ambroxol,0
DB09277,Empagliflozin,0
DB06292,Faldaprevir,0
DB01576,Bilastine,0
DB08809,Ecopipam,0
DB00343,Elacytarabine,0
DB09075,Esreboxetine,0
DB05187,GDC-0810,0
DB00303,Apitolisib,0
DB11827,Daprodustat,0
DB12235,Ketoconazole,0
DB04953,Batefenterol,0
DB00875,Lasmiditan,0
DB06623,Gemigliptin,0
DB05260,Sotagliflozin,0
DB00798,LY-3023414,0
DB12141,Biotin,0
DB01067,Omaveloxolone,0
DB11575,Orvepitant,0
DB11627,Pevonedistat,0
DB11123,Filibuvir,0
DB09053,Plazomicin,0
DB11737,Poziotinib,0
DB01362,Resminostat,0
DB00332,Samidorphan,0
DB05096,Relugolix,0
DB11912,Venetoclax,0
DB00279,Fulvestrant,0
DB12534,Vistusertib,0
DB00825,6-O-benzylguanine,0
DB00968,AQX-1125,0
DB00959,AZD-6280,0
DB08893,Abemaciclib,0
DB00471,Abemaciclib,0
DB09074,Acoziborole,0
DB11746,Activated charcoal,0
DB01083,Acyclovir,0
DB00107,Afatinib,0
DB11814,Aldesleukin,0
DB12675,Alisertib,0
DB07941,Alpelisib,0
DB01267,Ambroxol,0
DB01269,Ammonia,0
DB11774,Apitolisib,0
DB00082,Arginine,0
DB11664,Artefenomel,0
DB12975,Avatrombopag,0
DB12874,Avibactam,0
DB08913,BQ-123,0
DB08864,Bempedoic acid,0
DB09292,Benznidazole,0
DB06654,Beractant,0
DB06335,Bilastine,0
DB00203,Cabotegravir,0
DB11803,Cabozantinib,0
DB00815,Camptothecin,0
DB11764,Cannabidiol,0
DB00421,Capromab pendetide,0
DB00864,Carbocisteine,0
DB00560,Cebranopadol,0
DB01409,Cefdinir,0
DB00932,Ceftazidime,0
DB09076,Cetirizine,0
DB08881,Chlorhexidine,0
DB02546,Choline C 11,0
DB00558,Clonidine,0
DB13021,Dapagliflozin,0
DB00770,Daprodustat,0
DB00009,Dexmedetomidine,0
DB01223,Dextroamphetamine,0
DB09326,Dichloroacetic acid,0
DB00026,Diclofenac,0
DB01217,Diltiazem,0
DB05767,Docetaxel,0
DB00098,Doxorubicin,0
DB11854,Ecopipam,0
DB00572,Ecopipam,0
DB11966,Edoxaban,0
DB12256,Efavirenz,0
DB00074,Efavirenz,0
DB06769,Elacytarabine,0
DB00290,Elafibranor,0
DB02300,Empagliflozin,0
DB00136,Empagliflozin,0
DB06724,Ertapenem,0
DB12452,Ertugliflozin,0
DB01535,Erythromycin,0
DB11113,Esreboxetine,0
DB01161,Estetrol,0
DB01401,Ezetimibe,0
DB00369,Ezogabine,0
DB12849,Faldaprevir,0
DB00260,Fimasartan,0
DB00091,Florbetapir (18F),0
DB06637,Fluconazole,0
DB04983,Fludarabine,0
DB00917,Flumazenil,0
DB00561,Fluorouracil,0
DB06410,Flupentixol,0
DB09045,Flupirtine,0
DB11687,Fosaprepitant,0
DB06243,Furosemide,0
DB11979,GDC-0810,0
DB00530,Gallium nitrate,0
DB00990,Galunisertib,0
DB12909,Gemcitabine,0
DB05595,Gentamicin,0
DB01216,Gilteritinib,0
DB09148,Glasdegib,0
DB01099,Glimepiride,0
DB09398,Glipizide,0
DB12091,Grazoprevir,0
DB00674,Hepatitis B Vaccine (Recombinant),0
DB06784,Hydroxychloroquine,0
DB13040,Hypochlorite,0
DB00143,Ibrutinib,0
DB00145,Icotinib,0
DB00956,Idasanutlin,0
DB13023,Interferon beta-1b,0
DB13156,Iobenguane sulfate I-123,0
DB00105,Iohexol,0
DB00753,Ipratropium,0
DB00951,Itraconazole,0
DB00465,JNJ-40411813,0
DB04398,Ketamine,0
DB04465,LY2140023,0
DB01006,Lamotrigine,0
DB00007,Lanopepden,0
DB00583,Leucovorin,0
DB01378,Linagliptin,0
DB09407,Linagliptin,0
DB03323,Liothyronine,0
DB12041,Lorazepam,0
DB00888,Lorlatinib,0
DB08167,Losartan,0
DB00305,Lycopene,0
DB00745,Mavrilimumab,0
DB05493,Menthol,0
DB06711,Merestinib,0
DB00622,Metformin,0
DB09112,Methyldopa,0
DB09035,Methylphenidate,0
DB00717,Methylprednisolone,0
DB11765,Metoprolol,0
DB05495,Metronidazole,0
DB12602,Midazolam,0
DB00337,Midomafetamine,0
DB06811,Miglustat,0
DB00781,Mirabegron,0
DB00761,Montelukast,0
DB00750,Naloxegol,0
DB01087,Olaparib,0
DB01168,Onartuzumab,0
DB00339,Orlistat,0
DB00481,Osimertinib,0
DB11656,Oxaliplatin,0
DB11753,Oxytocin,0
DB00884,PF-03882845,0
DB01656,PF-04995274,0
DB13067,PH-797804,0
DB05273,Paliperidone,0
DB12035,Panitumumab,0
DB00658,Paroxetine,0
DB12965,Pazufloxacin,0
DB09395,Pegvisomant,0
DB09484,Pidolic acid,0
DB02772,Poziotinib,0
DB01268,Propofol,0
DB05253,Psilocybin,0
DB06287,Pyronaridine,0
DB00624,Quizartinib,0
DB06273,Radium Ra 223 dichloride,0
DB06212,Raltegravir,0
DB01030,Ribavirin,0
DB12169,Rilpivirine,0
DB00072,Ritonavir,0
DB00287,Rosuvastatin,0
DB00755,Rosuvastatin,0
DB00440,SJ-733,0
DB06825,Sacubitril,0
DB03419,Safinamide,0
DB00570,Sapitinib,0
DB00162,Saracatinib,0
DB11195,Saracatinib,0
DB01593,Saxagliptin,0
DB02342,Sildenafil,0
DB11709,Sirolimus,0
DB08885,Sirolimus,0
DB01118,Sirukumab,0
DB00681,Sodium lauryl sulfate,0
DB00972,Sotagliflozin,0
DB12768,Spebrutinib,0
DB00394,Spironolactone,0
DB09084,Tacrolimus,0
DB11326,Taladegib,0
DB11776,Tapentadol,0
DB01222,Telcagepant,0
DB05398,Tigecycline,0
DB00146,Tiotropium,0
DB00258,Tipranavir,0
DB09050,Tofacitinib,0
DB01410,Umeclidinium,0
DB00155,Vemurafenib,0
